,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Friday, November 9, 2012", TCU, Cal Poly,20,21,53,46
0,"Friday, November 9, 2012", Belmont, Lipscomb,26,42,89,60
0,"Friday, November 9, 2012", Kansas St., North Dakota,36,27,85,52
0,"Friday, November 9, 2012", Houston, Florida A&M,34,35,81,76
0,"Friday, November 9, 2012", IUPUI, Utah Valley,43,26,67,54
0,"Friday, November 9, 2012", Morgan St., UTSA,42,28,71,59
0,"Friday, November 9, 2012", Connecticut, Michigan St.,40,33,66,62
0,"Friday, November 9, 2012", Miami FL, Stetson,34,34,87,79
0,"Friday, November 9, 2012", Pittsburgh,s,42,27,80,48
0,"Friday, November 9, 2012", Albany, Duquesne,37,34,69,66
0,"Friday, November 9, 2012", Vermont, Siena,30,24,54,53
0,"Friday, November 9, 2012", Georgia, Jacksonville,34,21,68,62
0,"Friday, November 9, 2012", Richmond, Liberty,41,21,84,42
0,"Friday, November 9, 2012", St. Bonaventure, Bethune Cookman,29,25,65,55
0,"Friday, November 9, 2012", Penn, UMBC,34,48,80,75
0,"Friday, November 9, 2012", Monmouth, Hofstra,50,31,91,62
0,"Friday, November 9, 2012", High Point, UNC Greensboro,39,33,81,73
0,"Friday, November 9, 2012", Kent St., Drexel,23,25,66,62
0,"Friday, November 9, 2012", Georgia Tech, Tulane,39,30,79,61
0,"Friday, November 9, 2012", Northeastern, Boston University,26,35,65,64
0,"Friday, November 9, 2012", Bucknell, Purdue,33,27,70,65
0,"Friday, November 9, 2012", UNC Asheville, Western Carolina,30,32,71,61
0,"Friday, November 9, 2012", Wake Forest, Radford,44,35,79,67
0,"Friday, November 9, 2012", Iona, Denver,40,17,65,58
0,"Friday, November 9, 2012", Charlotte, Charleston Southern,24,23,68,58
0,"Friday, November 9, 2012", South Alabama, Florida St.,36,41,76,71
0,"Friday, November 9, 2012", North Carolina, Gardner Webb,38,26,76,59
0,"Friday, November 9, 2012", Colorado, Wofford,34,23,74,59
0,"Friday, November 9, 2012", Xavier, Fairleigh Dickinson,68,32,117,75
0,"Friday, November 9, 2012", Duke, Georgia St.,32,22,74,55
0,"Friday, November 9, 2012", Penn St., St. Francis PA,26,20,65,58
0,"Friday, November 9, 2012", Rider, Robert Morris,40,27,79,54
0,"Friday, November 9, 2012", Holy Cross, Old Dominion,18,22,46,45
0,"Friday, November 9, 2012", Cleveland St., Grambling St.,43,17,92,49
0,"Friday, November 9, 2012", Seton Hall, UMKC,34,22,75,36
0,"Friday, November 9, 2012", VCU, Florida Gulf Coast,46,20,80,57
0,"Friday, November 9, 2012", Norfolk St., Rhode Island,30,25,67,55
0,"Friday, November 9, 2012", College of Charleston, Towson,40,14,75,58
0,"Friday, November 9, 2012", Loyola MD, Binghamton,39,22,71,45
0,"Friday, November 9, 2012",s, Rutgers,22,22,56,52
0,"Friday, November 9, 2012", William & Mary, Hampton,29,22,69,51
0,"Friday, November 9, 2012", Coastal Carolina, Akron,31,34,74,70
0,"Friday, November 9, 2012", Marshall, Longwood,35,20,81,47
0,"Friday, November 9, 2012", Austin Peay, Samford,38,28,75,64
0,"Friday, November 9, 2012", Minnesota, American,44,14,72,36
0,"Sunday, November 11, 2012", Syracuse, San Diego St.,19,33,62,49
0,"Friday, November 9, 2012", Texas St., Fordham,41,34,86,76
0,"Friday, November 9, 2012", Texas A&M, Louisiana Tech,30,25,71,59
0,"Friday, November 9, 2012", Nebraska Omaha, Northern Illinois,33,32,77,64
0,"Friday, November 9, 2012", LSU, UC Santa Barbara,41,32,77,63
0,"Friday, November 9, 2012", Iowa St., Southern,41,39,82,59
0,"Friday, November 9, 2012", Arkansas Little Rock, Tennessee Martin,39,32,84,68
0,"Friday, November 9, 2012", Troy, Mississippi St.,32,22,56,53
0,"Friday, November 9, 2012", Loyola Chicago, Toledo,36,28,62,50
0,"Friday, November 9, 2012", Texas, Fresno St.,25,25,55,53
0,"Friday, November 9, 2012", Saint Louis, USC Upstate,36,28,76,59
0,"Friday, November 9, 2012", Bradley, Eastern Illinois,38,22,76,53
0,"Friday, November 9, 2012", Arkansas, Sam Houston St.,37,29,73,68
0,"Friday, November 9, 2012", Auburn, IPFW,23,27,61,50
0,"Friday, November 9, 2012", Illinois, Colgate,43,25,75,55
0,"Friday, November 9, 2012", Indiana, Bryant,48,28,97,54
0,"Friday, November 9, 2012", Kansas, Southeast Missouri St.,32,17,74,55
0,"Friday, November 9, 2012", Creighton, North Texas,39,25,71,51
0,"Friday, November 9, 2012", St. Francis NY, Lafayette,24,32,76,65
0,"Friday, November 9, 2012", Baylor, Lehigh,51,41,99,77
0,"Friday, November 9, 2012", Kentucky, Maryland,49,36,72,69
0,"Friday, November 9, 2012", Valparaiso, Georgia Southern,40,21,85,54
0,"Friday, November 9, 2012", Middle Tennessee, Alabama St.,40,29,97,53
