,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Wednesday, January 2, 2013", San Diego St., Cal St. Bakersfield,37,20,72,57
0,"Wednesday, January 2, 2013", Colorado St., UTEP,29,19,62,58
0,"Wednesday, January 2, 2013", Santa Clara, San Francisco,39,28,74,69
0,"Wednesday, January 2, 2013", Akron, Coppin St.,42,27,91,63
0,"Thursday, January 3, 2013", Hawaii, Cal St. Fullerton,40,40,90,88
0,"Thursday, January 3, 2013", Michigan, Northwestern,30,51,94,66
0,"Thursday, January 3, 2013", St. Francis NY, Quinnipiac,28,25,63,61
0,"Thursday, January 3, 2013", Wagner, Monmouth,27,24,60,56
0,"Thursday, January 3, 2013", Sacred Heart, LIU Brooklyn,38,31,77,73
0,"Thursday, January 3, 2013", Wright St., Green Bay,33,24,64,53
0,"Thursday, January 3, 2013", Eastern Kentucky, Eastern Illinois,35,18,65,54
0,"Thursday, January 3, 2013", Fairfield, Canisius,17,34,66,45
0,"Thursday, January 3, 2013", Fairleigh Dickinson,s,22,39,72,65
0,"Thursday, January 3, 2013", Morehead St., SIU Edwardsville,31,23,68,64
0,"Thursday, January 3, 2013", Mississippi St., New Orleans,43,16,97,46
0,"Thursday, January 3, 2013", Niagara, Marist,51,30,94,72
0,"Thursday, January 3, 2013", Florida Atlantic, Louisiana Lafayette,39,27,75,70
0,"Thursday, January 3, 2013", St. Francis PA, Central Connecticut,27,27,67,60
0,"Thursday, January 3, 2013", Bryant, Robert Morris,32,33,84,77
0,"Thursday, January 3, 2013", Detroit, Milwaukee,30,31,74,59
0,"Thursday, January 3, 2013", Oakland, Nebraska Omaha,50,42,91,79
0,"Thursday, January 3, 2013", American, Maryland Eastern Shore,34,24,63,49
0,"Thursday, January 3, 2013", North Texas, Troy,39,29,76,59
0,"Thursday, January 3, 2013", Murray St., Tennessee Martin,19,33,73,62
0,"Thursday, January 3, 2013", Southeast Missouri St., Austin Peay,35,30,86,84
0,"Thursday, January 3, 2013", Arizona, Colorado,27,34,92,83
0,"Thursday, January 3, 2013", Belmont, Jacksonville St.,31,33,73,62
0,"Thursday, January 3, 2013", BYU, Loyola Marymount,35,20,92,51
0,"Thursday, January 3, 2013", Houston, Texas Pan American,42,36,96,71
0,"Thursday, January 3, 2013", Tennessee St., Tennessee Tech,31,29,72,66
0,"Thursday, January 3, 2013", North Dakota St., South Dakota,26,52,92,66
0,"Thursday, January 3, 2013", South Dakota St., UMKC,20,49,77,61
0,"Thursday, January 3, 2013", Arkansas St., Middle Tennessee,26,25,66,60
0,"Thursday, January 3, 2013", Oral Roberts, Southeastern Louisiana,33,54,86,72
0,"Thursday, January 3, 2013", Northwestern St., McNeese St.,43,31,78,63
0,"Thursday, January 3, 2013", Arkansas Little Rock, Western Kentucky,36,36,75,67
0,"Thursday, January 3, 2013", South Alabama, Louisiana Monroe,28,36,77,72
0,"Thursday, January 3, 2013", Nicholls St., Central Arkansas,38,30,83,79
0,"Thursday, January 3, 2013", Northern Arizona, Sacramento St.,30,25,57,50
0,"Thursday, January 3, 2013", New Mexico St., UTSA,38,32,82,62
0,"Thursday, January 3, 2013", Denver, Texas St.,31,25,64,53
0,"Thursday, January 3, 2013", Stephen F. Austin, Lamar,46,16,79,43
0,"Thursday, January 3, 2013", Weber St., Northern Colorado,43,26,79,54
0,"Thursday, January 3, 2013", Montana, Eastern Washington,34,29,81,66
0,"Thursday, January 3, 2013", Montana St., Portland St.,29,22,62,59
0,"Thursday, January 3, 2013", North Dakota, Idaho St.,20,31,66,53
0,"Thursday, January 3, 2013", Utah St., Seattle,34,28,75,66
0,"Thursday, January 3, 2013", UC Santa Barbara, UC Irvine,32,37,74,71
0,"Thursday, January 3, 2013", UNLV, Chicago St.,39,21,74,52
0,"Thursday, January 3, 2013", Idaho, San Jose St.,30,33,64,55
0,"Thursday, January 3, 2013", Cal Poly, Long Beach St.,34,32,79,73
0,"Thursday, January 3, 2013", USC, Stanford,33,42,71,69
0,"Thursday, January 3, 2013", UC Riverside, Cal St. Northridge,32,30,65,64
0,"Thursday, January 3, 2013", UCLA, California,38,28,79,65
0,"Thursday, January 3, 2013", Northeastern, George Mason,37,30,84,74
0,"Thursday, January 3, 2013", Wisconsin, Penn St.,29,18,60,51
0,"Thursday, January 3, 2013", San Diego, Portland,27,27,61,50
0,"Thursday, January 3, 2013", Gonzaga, Pepperdine,26,30,78,62
0,"Friday, January 4, 2013", Manhattan,s,27,27,55,53
0,"Friday, January 4, 2013", Iona, Siena,29,24,66,62
0,"Friday, January 4, 2013", Rhode Island, Brown,21,14,59,47
0,"Friday, January 4, 2013", Georgia, George Washington,18,21,52,41
0,"Friday, January 4, 2013", Yale, Holy Cross,29,31,61,54
0,"Friday, January 4, 2013", Valparaiso, Cleveland St.,35,18,74,50
0,"Friday, January 4, 2013", Loyola MD, Rider,31,25,71,65
0,"Friday, January 4, 2013", Memphis, Tennessee,28,42,85,80
0,"Thursday, January 3, 2013", Texas A&M, Houston Baptist,32,30,67,59
0,"Friday, January 4, 2013", Alabama A&M, Jackson St.,36,31,88,87
0,"Friday, January 4, 2013", Alabama St., Grambling St.,40,21,69,56
0,"Friday, January 4, 2013", Southern, Prairie View A&M,24,19,50,45
0,"Friday, January 4, 2013", Mississippi, Fordham,46,35,95,68
0,"Friday, January 4, 2013", Texas Southern, Alcorn St.,31,29,57,48
0,"Friday, January 4, 2013", Saint Louis, Savannah St.,33,25,67,59
0,"Saturday, January 5, 2013", Hawaii, UC Riverside,40,21,76,61
0,"Saturday, January 5, 2013", Rutgers, Pittsburgh,39,25,67,62
0,"Saturday, January 5, 2013", Dayton, UAB,44,35,78,71
0,"Saturday, January 5, 2013", LSU, Bethune Cookman,38,30,79,63
0,"Saturday, January 5, 2013", Notre Dame, Seton Hall,44,36,93,74
0,"Saturday, January 5, 2013",s, Morgan St.,25,32,70,60
0,"Saturday, January 5, 2013", Texas Tech, TCU,22,29,62,53
0,"Saturday, January 5, 2013", Delaware, Old Dominion,32,39,84,72
0,"Saturday, January 5, 2013", Maryland, Virginia Tech,53,37,94,71
0,"Saturday, January 5, 2013", Duke, Wake Forest,41,30,80,62
0,"Saturday, January 5, 2013", Michigan St., Purdue,36,30,84,61
0,"Saturday, January 5, 2013", Princeton, Elon,32,41,74,64
0,"Saturday, January 5, 2013", Maine, UMBC,37,29,81,66
0,"Saturday, January 5, 2013", Western Illinois, IUPUI,16,28,57,53
0,"Saturday, January 5, 2013", Northeastern, UNC Wilmington,34,32,68,64
0,"Saturday, January 5, 2013", Hartford, Boston University,38,32,77,74
0,"Saturday, January 5, 2013", South Carolina, South Carolina St.,37,29,80,69
0,"Saturday, January 5, 2013", Kansas St., Oklahoma St.,30,32,73,67
0,"Saturday, January 5, 2013", Montana St., Eastern Washington,29,37,70,68
0,"Saturday, January 5, 2013", High Point, Winthrop,29,26,74,61
0,"Saturday, January 5, 2013", Coastal Carolina, Longwood,38,45,80,72
0,"Saturday, January 5, 2013", Stony Brook, New Hampshire,32,22,65,49
0,"Saturday, January 5, 2013", La Salle, Penn,36,26,74,57
0,"Saturday, January 5, 2013", Vermont, Albany,35,19,70,45
0,"Saturday, January 5, 2013", Massachusetts, Eastern Michigan,38,25,75,61
0,"Saturday, January 5, 2013", George Mason, William & Mary,37,33,73,66
0,"Saturday, January 5, 2013", Butler, New Orleans,24,18,57,44
0,"Saturday, January 5, 2013", Georgia St., James Madison,38,24,68,52
0,"Saturday, January 5, 2013", Baylor, Texas,40,31,86,79
0,"Saturday, January 5, 2013", Ohio, Marshall,56,24,94,57
0,"Saturday, January 5, 2013", Detroit, Green Bay,42,37,84,76
0,"Saturday, January 5, 2013", Marquette, Georgetown,20,19,49,48
0,"Saturday, January 5, 2013", IPFW, Nebraska Omaha,47,36,96,78
0,"Saturday, January 5, 2013", Florida Gulf Coast, Jacksonville,43,17,78,55
0,"Saturday, January 5, 2013", Illinois, Ohio St.,37,25,74,55
0,"Saturday, January 5, 2013", Miami FL, Georgia Tech,23,33,62,49
0,"Saturday, January 5, 2013", Kennesaw St., Mercer,39,35,83,75
0,"Saturday, January 5, 2013", BYU, San Francisco,46,37,80,76
0,"Saturday, January 5, 2013", Quinnipiac, LIU Brooklyn,32,31,82,74
0,"Saturday, January 5, 2013", UCLA, Stanford,30,22,68,60
0,"Saturday, January 5, 2013",s, Loyola Marymount,33,30,74,61
0,"Saturday, January 5, 2013", Gonzaga, Santa Clara,34,41,81,74
0,"Saturday, January 5, 2013", Niagara, Fairfield,31,31,71,67
0,"Saturday, January 5, 2013", Pepperdine, Portland,21,28,54,47
0,"Saturday, January 5, 2013", Columbia, Army,29,24,64,52
0,"Saturday, January 5, 2013", Creighton, Indiana St.,27,27,79,66
0,"Saturday, January 5, 2013", North Florida, Stetson,31,47,90,74
0,"Saturday, January 5, 2013", Campbell, Gardner Webb,31,31,93,81
0,"Saturday, January 5, 2013", Sacred Heart, St. Francis NY,28,33,66,65
0,"Saturday, January 5, 2013", Oklahoma, West Virginia,35,29,67,57
0,"Saturday, January 5, 2013", UCF, Florida A&M,55,28,99,69
0,"Saturday, January 5, 2013", Wagner, Fairleigh Dickinson,31,19,68,55
0,"Saturday, January 5, 2013", Northwestern St., Lamar,46,27,86,58
0,"Saturday, January 5, 2013", Howard, Coppin St.,25,31,70,60
0,"Saturday, January 5, 2013", Florida St., Clemson,25,38,71,66
0,"Saturday, January 5, 2013", Youngstown St., Loyola Chicago,35,30,68,66
0,"Saturday, January 5, 2013",s, Cincinnati,21,24,53,52
0,"Saturday, January 5, 2013", Bryant, St. Francis PA,18,40,78,58
0,"Saturday, January 5, 2013", Charleston Southern, Radford,32,40,81,74
0,"Saturday, January 5, 2013", Towson, Drexel,18,32,69,66
0,"Saturday, January 5, 2013", N.C. State, Boston College,28,29,78,73
0,"Saturday, January 5, 2013", Alabama, Oakland,29,23,65,45
0,"Saturday, January 5, 2013", Colorado St., St. Bonaventure,46,28,85,64
0,"Friday, January 4, 2013", Sam Houston St., Texas A&M Corpus Chris,27,21,61,57
0,"Saturday, January 5, 2013", VCU, Lehigh,29,30,59,55
0,"Saturday, January 5, 2013", Southeastern Louisiana, Central Arkansas,33,41,72,68
0,"Saturday, January 5, 2013", Harvard, Rice,43,21,92,62
0,"Saturday, January 5, 2013", College of Charleston, Furman,27,22,60,56
0,"Saturday, January 5, 2013", Arizona, Utah,30,23,60,57
0,"Saturday, January 5, 2013", Norfolk St., Navy,44,22,74,68
0,"Saturday, January 5, 2013", Oral Roberts, Nicholls St.,26,41,76,63
0,"Saturday, January 5, 2013", Southern Utah, Northern Arizona,30,42,90,77
