,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Friday, November 13, 2015", SIU Edwardsville, Arkansas St.,37,37,79,70
0,"Friday, November 13, 2015", Stanford, Green Bay,28,38,93,89
0,"Friday, November 13, 2015", Texas Tech, High Point,32,31,77,73
0,"Friday, November 13, 2015", Alabama A&M, Tulane,19,25,68,67
0,"Friday, November 13, 2015", Utah St., Weber St.,32,35,73,70
0,"Friday, November 13, 2015", Western Illinois, Wisconsin,44,37,69,67
0,"Friday, November 13, 2015", Arizona, Pacific,41,24,79,61
0,"Friday, November 13, 2015", Auburn, UAB,40,37,75,74
0,"Friday, November 13, 2015", Baylor, Stephen F. Austin,42,23,97,55
0,"Friday, November 13, 2015", Nevada, Coastal Carolina,23,21,73,56
0,"Friday, November 13, 2015", Iowa, Gardner Webb,41,37,76,59
0,"Friday, November 13, 2015", Florida, Navy,19,29,59,41
0,"Friday, November 13, 2015", TCU, Southeastern Louisiana,42,31,90,77
0,"Friday, November 13, 2015", Texas A&M, USC Upstate,52,32,104,64
0,"Friday, November 13, 2015", Utah, Southern Utah,38,36,82,71
0,"Friday, November 13, 2015", Fresno St., Pepperdine,30,38,69,66
0,"Friday, November 13, 2015", Loyola Marymount, Cal St. Fullerton,41,31,79,74
0,"Friday, November 13, 2015", Oregon, Jackson St.,46,30,80,52
0,"Friday, November 13, 2015", San Diego St., Illinois St.,37,34,71,60
0,"Friday, November 13, 2015", Lipscomb, Santa Clara,25,27,65,63
0,"Friday, November 13, 2015", UNLV, Cal Poly,37,40,74,72
0,"Friday, November 13, 2015", Arkansas Pine Bluff, Seattle,33,28,58,56
0,"Friday, November 13, 2015", Eastern Michigan, Vermont,27,30,70,50
0,"Friday, November 13, 2015", Monmouth, UCLA,34,30,84,81
0,"Friday, November 13, 2015", California, Rice,47,31,97,65
0,"Friday, November 13, 2015", Hawaii, Montana St.,48,27,87,76
0,"Saturday, November 14, 2015", Appalachian St., Jacksonville,32,32,76,68
0,"Saturday, November 14, 2015", Boston College, St. Francis NY,41,16,75,49
0,"Saturday, November 14, 2015", Bowling Green, New Orleans,37,27,79,61
0,"Saturday, November 14, 2015", Ohio, Florida Gulf Coast,43,36,85,75
0,"Saturday, November 14, 2015", La Salle, Towson,45,39,78,76
0,"Saturday, November 14, 2015", Northern Illinois, South Dakota,28,34,72,65
0,"Saturday, November 14, 2015", Duke, Bryant,59,32,113,75
0,"Saturday, November 14, 2015", Kentucky, NJIT,36,28,87,57
0,"Saturday, November 14, 2015", Cal St. Northridge, Wright St.,27,33,72,67
0,"Saturday, November 14, 2015", Kent St., Youngstown St.,40,33,79,70
0,"Saturday, November 14, 2015", Providence, Harvard,34,29,76,64
0,"Saturday, November 14, 2015", Alabama St., Virginia Tech,42,37,85,82
0,"Saturday, November 14, 2015", Butler, The Citadel,71,41,144,71
0,"Saturday, November 14, 2015", Davidson, UCF,55,45,90,85
0,"Saturday, November 14, 2015", Memphis, Southern Miss,36,20,67,49
0,"Saturday, November 14, 2015", SMU, Sam Houston St.,40,19,85,50
0,"Saturday, November 14, 2015", Tulsa, Central Arkansas,44,38,98,81
0,"Saturday, November 14, 2015", Milwaukee, Lipscomb,41,37,71,65
0,"Saturday, November 14, 2015", Nebraska, Mississippi Valley St.,43,21,97,51
0,"Saturday, November 14, 2015", UT Arlington, Fordham,39,26,77,72
0,"Saturday, November 14, 2015", Akron, Cleveland St.,40,22,65,53
0,"Saturday, November 14, 2015", DePaul, Western Michigan,24,35,69,63
0,"Saturday, November 14, 2015", Creighton, Texas Southern,46,30,93,70
0,"Saturday, November 14, 2015", Idaho, San Jose St.,18,34,74,54
0,"Saturday, November 14, 2015", Denver, Santa Clara,17,26,55,33
0,"Saturday, November 14, 2015", Penn St., VMI,29,24,62,50
0,"Saturday, November 14, 2015", Radford, Georgetown,33,33,82,80
0,"Saturday, November 14, 2015", Massachusetts, Howard,38,47,85,79
0,"Saturday, November 14, 2015", Colorado St., Northern Iowa,35,42,84,78
0,"Sunday, November 15, 2015", Cincinnati, Robert Morris,51,25,106,44
0,"Sunday, November 15, 2015", Clemson, UTSA,48,28,78,45
0,"Sunday, November 15, 2015", Purdue, Vermont,60,45,107,79
0,"Sunday, November 15, 2015", Army, Binghamton,30,42,75,60
0,"Sunday, November 15, 2015", Lafayette, Saint Peter's,39,34,87,86
0,"Sunday, November 15, 2015", South Dakota, Cal St. Northridge,33,30,76,72
0,"Sunday, November 15, 2015", Illinois, North Dakota St.,28,39,80,74
0,"Sunday, November 15, 2015", Minnesota, Louisiana Monroe,38,25,67,56
0,"Sunday, November 15, 2015", Denver, Lipscomb,39,26,82,69
0,"Sunday, November 15, 2015", Evansville, Southeast Missouri St.,44,36,80,65
0,"Sunday, November 15, 2015", Florida St., Nicholls St.,60,32,109,62
0,"Sunday, November 15, 2015", North Carolina, Fairfield,40,32,92,65
0,"Sunday, November 15, 2015", Penn, Central Connecticut,29,29,77,61
0,"Sunday, November 15, 2015", Southern Illinois, Florida A&M,39,26,81,51
0,"Sunday, November 15, 2015", Northern Illinois, Wright St.,31,39,65,59
0,"Sunday, November 15, 2015", Western Carolina, UNC Asheville,31,34,90,81
0,"Sunday, November 15, 2015", Iowa, Coppin St.,52,22,103,68
0,"Sunday, November 15, 2015", Richmond, Stetson,57,33,108,85
0,"Sunday, November 15, 2015", Saint Joseph's, Niagara,34,28,73,62
0,"Sunday, November 15, 2015", Milwaukee, Santa Clara,32,26,71,65
0,"Sunday, November 15, 2015", Missouri, Maryland Eastern Shore,34,32,73,55
0,"Sunday, November 15, 2015", N.C. State, South Alabama,40,34,88,70
0,"Sunday, November 15, 2015", Saint Louis, Hartford,37,32,85,68
0,"Sunday, November 15, 2015", UC Davis, Portland,41,31,79,66
0,"Sunday, November 15, 2015", Nevada, Montana St.,41,37,83,62
0,"Sunday, November 15, 2015", Stanford, Charleston Southern,46,21,93,59
0,"Sunday, November 15, 2015", UC Irvine, Loyola Marymount,39,25,77,53
0,"Sunday, November 15, 2015", Wisconsin, Siena,43,28,92,65
0,"Sunday, November 15, 2015", New Mexico, New Mexico St.,38,39,83,74
0,"Sunday, November 15, 2015", Hawaii, Coastal Carolina,41,33,74,63
0,"Sunday, November 15, 2015", UCLA, Cal Poly,47,37,88,83
0,"Sunday, November 15, 2015", Wake Forest, Bucknell,48,37,90,82
0,"Sunday, November 15, 2015", Rutgers, Howard,35,27,82,70
0,"Sunday, November 15, 2015", Valparaiso, Iona,42,25,83,58
0,"Sunday, November 15, 2015", Ohio St., Mount St. Mary's,42,21,76,54
0,"Sunday, November 15, 2015", Seton Hall, Wagner,42,26,69,59
0,"Sunday, November 15, 2015", Sacramento St., Seattle,27,25,77,65
0,"Monday, November 16, 2015", Boston University, Albany,34,37,69,64
0,"Monday, November 16, 2015", Duquesne, New Orleans,54,27,95,75
0,"Monday, November 16, 2015", East Carolina, Charlotte,41,35,88,74
0,"Monday, November 16, 2015", Georgia Tech, Tennessee,40,38,69,67
0,"Monday, November 16, 2015", Indiana, Austin Peay,51,39,102,76
0,"Monday, November 16, 2015", Indiana St., Wyoming,29,15,70,55
0,"Monday, November 16, 2015", Mercer, George Mason,26,28,69,60
0,"Monday, November 16, 2015", Miami FL, Louisiana Lafayette,43,27,93,77
0,"Monday, November 16, 2015", Michigan, Elon,43,33,88,68
0,"Monday, November 16, 2015", College of Charleston, Navy,28,31,72,58
0,"Monday, November 16, 2015", Old Dominion, Buffalo,37,20,77,58
0,"Monday, November 16, 2015", Savannah St., Campbell,29,26,59,57
0,"Monday, November 16, 2015", NJIT, South Florida,27,24,60,57
0,"Monday, November 16, 2015", St. John's, UMBC,31,22,75,53
0,"Monday, November 16, 2015", UNC Wilmington, Eastern Kentucky,38,27,78,59
0,"Monday, November 16, 2015", VCU, Radford,43,32,92,74
0,"Monday, November 16, 2015", West Virginia, James Madison,48,38,86,73
0,"Monday, November 16, 2015", Yale, Sacred Heart,51,33,99,77
0,"Monday, November 16, 2015", Ohio, Tennessee St.,37,37,75,67
0,"Monday, November 16, 2015", Ball St., Eastern Illinois,36,32,73,56
0,"Monday, November 16, 2015", Brown, Holy Cross,35,32,71,55
0,"Monday, November 16, 2015", Canisius, Lehigh,39,41,98,89
0,"Monday, November 16, 2015", Cornell, Colgate,30,41,101,98
0,"Monday, November 16, 2015", North Florida, UT Rio Grande Valley,61,34,106,84
0,"Monday, November 16, 2015", Presbyterian, USC Upstate,35,40,74,73
0,"Monday, November 16, 2015", Bethune Cookman, Tennessee Martin,34,33,86,79
0,"Monday, November 16, 2015", Towson, Morgan St.,32,25,69,61
0,"Monday, November 16, 2015", George Washington, Virginia,35,32,73,68
0,"Monday, November 16, 2015", LIU Brooklyn, Loyola MD,29,31,71,68
0,"Monday, November 16, 2015", South Carolina, Oral Roberts,33,30,84,66
0,"Monday, November 16, 2015", Arizona, Bradley,39,33,90,60
0,"Monday, November 16, 2015", Iowa St., Chicago St.,49,35,106,64
0,"Monday, November 16, 2015", Oklahoma St., Arkansas Pine Bluff,32,31,86,72
0,"Monday, November 16, 2015", South Dakota St., Weber St.,45,33,85,68
0,"Monday, November 16, 2015", Texas A&M, Southeastern Louisiana,50,30,100,58
0,"Monday, November 16, 2015", Tulane, Drake,35,33,79,74
0,"Monday, November 16, 2015", Vanderbilt, Gardner Webb,46,29,98,62
0,"Monday, November 16, 2015", Florida, North Carolina A&T,52,27,104,54
0,"Monday, November 16, 2015", Illinois St., Morehead St.,32,31,67,66
0,"Monday, November 16, 2015", Kansas St., Columbia,40,35,81,71
0,"Monday, November 16, 2015", LSU, Kennesaw St.,44,21,91,69
0,"Monday, November 16, 2015", Marquette, IUPUI,36,36,75,71
0,"Monday, November 16, 2015", Air Force, Tennessee Tech,40,27,80,70
0,"Monday, November 16, 2015", Boise St., Northern Arizona,47,44,101,81
0,"Monday, November 16, 2015", UAB, Alabama St.,37,30,72,70
0,"Monday, November 16, 2015", Utah, San Diego St.,38,32,81,76
0,"Monday, November 16, 2015", Arizona St., Belmont,36,32,83,74
0,"Monday, November 16, 2015", California, UC Santa Barbara,47,28,85,67
0,"Monday, November 16, 2015", Fresno St., Lamar,46,36,80,72
0,"Monday, November 16, 2015", Saint Mary's, Manhattan,46,36,89,63
0,"Monday, November 16, 2015", USC, Monmouth,47,46,101,90
0,"Monday, November 16, 2015", San Jose St., Montana,36,24,64,61
0,"Monday, November 16, 2015", San Francisco, Rice,41,22,80,54
0,"Monday, November 16, 2015", Oregon, Baylor,35,24,74,67
0,"Monday, November 16, 2015", Long Beach St., BYU,36,30,66,65
0,"Monday, November 16, 2015", Hawaii, Nevada,40,28,76,75
0,"Tuesday, November 17, 2015", Colorado, Auburn,46,42,91,84
0,"Tuesday, November 17, 2015", Oklahoma, Memphis,41,42,84,78
0,"Tuesday, November 17, 2015", Penn St., DePaul,31,25,68,62
0,"Tuesday, November 17, 2015", The Citadel, Stetson,51,50,94,93
0,"Tuesday, November 17, 2015", Xavier, Missouri,37,36,78,66
0,"Tuesday, November 17, 2015", Connecticut, New Hampshire,39,29,85,66
0,"Tuesday, November 17, 2015", Penn, Delaware St.,26,26,60,54
0,"Tuesday, November 17, 2015", Massachusetts, Harvard,34,38,69,63
0,"Tuesday, November 17, 2015", William & Mary, Liberty,38,35,70,59
0,"Tuesday, November 17, 2015", Louisville, Hartford,45,31,87,52
0,"Tuesday, November 17, 2015", Marist, Dartmouth,33,24,73,63
0,"Tuesday, November 17, 2015", Notre Dame, Milwaukee,39,31,86,78
0,"Tuesday, November 17, 2015", Syracuse, St. Bonaventure,29,35,79,66
0,"Tuesday, November 17, 2015", Furman, Appalachian St.,29,32,79,70
0,"Tuesday, November 17, 2015", La Salle, Rider,39,27,73,60
0,"Tuesday, November 17, 2015", Ohio St., Grambling St.,44,20,82,55
0,"Tuesday, November 17, 2015", Western Michigan, San Diego,28,34,74,62
0,"Tuesday, November 17, 2015", Kentucky, Duke,31,37,74,63
0,"Tuesday, November 17, 2015", Louisiana Tech, UT Arlington,32,42,80,68
0,"Tuesday, November 17, 2015", Hampton, American,23,21,61,48
0,"Tuesday, November 17, 2015", Murray St., Middle Tennessee,37,30,76,65
0,"Tuesday, November 17, 2015", Nebraska Omaha, UMKC,39,39,95,89
0,"Tuesday, November 17, 2015", Wisconsin, North Dakota,35,22,78,64
0,"Tuesday, November 17, 2015", Creighton, UTSA,61,37,103,78
0,"Tuesday, November 17, 2015", Tulsa, Wichita St.,30,31,77,67
0,"Tuesday, November 17, 2015", Western Illinois, Illinois Chicago,39,24,84,57
0,"Tuesday, November 17, 2015", Jackson St., Southern Miss,26,42,78,60
0,"Tuesday, November 17, 2015", Villanova, Nebraska,38,25,87,63
0,"Tuesday, November 17, 2015", Maryland, Georgetown,33,33,75,71
0,"Tuesday, November 17, 2015", Florida St., Jacksonville,44,38,98,79
0,"Tuesday, November 17, 2015", Michigan St., Kansas,35,41,79,73
0,"Tuesday, November 17, 2015", Cal St. Bakersfield, Idaho,38,26,68,45
0,"Tuesday, November 17, 2015", Oregon St., Iona,41,29,93,73
0,"Tuesday, November 17, 2015", Cal St. Fullerton, Pacific,45,39,77,76
0,"Tuesday, November 17, 2015", Dayton, Alabama,40,24,80,48
0,"Tuesday, November 17, 2015", East Tennessee St., Green Bay,48,41,103,90
0,"Tuesday, November 17, 2015", Northern Iowa, Stephen F. Austin,40,26,70,60
0,"Tuesday, November 17, 2015", Valparaiso, Rhode Island,20,18,58,55
0,"Wednesday, November 18, 2015", Cornell, Binghamton,38,27,76,59
0,"Wednesday, November 18, 2015", North Carolina, Wofford,34,29,78,58
0,"Wednesday, November 18, 2015", N.C. State, IUPUI,38,27,79,56
0,"Wednesday, November 18, 2015", Old Dominion, Morgan St.,46,29,79,48
0,"Wednesday, November 18, 2015", Purdue, Incarnate Word,53,24,96,61
0,"Wednesday, November 18, 2015", Saint Joseph's, Buffalo,46,28,89,67
0,"Wednesday, November 18, 2015", Savannah St., Arkansas St.,43,39,76,75
0,"Wednesday, November 18, 2015", Richmond, Wake Forest,39,41,91,82
0,"Wednesday, November 18, 2015", Cincinnati, Bowling Green,31,35,83,50
0,"Wednesday, November 18, 2015", Providence, Illinois,32,30,60,59
0,"Wednesday, November 18, 2015", Virginia Tech, Jacksonville St.,38,33,71,62
0,"Wednesday, November 18, 2015", Army, Fairleigh Dickinson,39,52,96,85
0,"Wednesday, November 18, 2015", Belmont, Western Kentucky,52,43,90,85
0,"Wednesday, November 18, 2015", High Point, Drexel,32,40,75,66
0,"Wednesday, November 18, 2015", Niagara, Brown,38,30,75,66
0,"Wednesday, November 18, 2015", Oakland, Eastern Michigan,39,32,91,81
0,"Wednesday, November 18, 2015", Bucknell, Robert Morris,31,39,81,76
0,"Wednesday, November 18, 2015", UC Irvine, UCF,24,26,61,60
0,"Wednesday, November 18, 2015", UMass Lowell, Sacred Heart,55,47,87,84
