,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Wednesday, February 20, 2019", St. Bonaventure, La Salle,32,28,62,60
0,"Wednesday, February 20, 2019", Houston Baptist, Northwestern St.,38,29,92,54
0,"Wednesday, February 20, 2019", Northern Iowa, Missouri St.,19,17,63,43
0,"Wednesday, February 20, 2019", Nebraska Omaha, Western Illinois,33,30,77,63
0,"Wednesday, February 20, 2019", New Orleans, Southeastern Louisiana,44,31,89,68
0,"Wednesday, February 20, 2019", South Dakota, Denver,36,22,72,45
0,"Wednesday, February 20, 2019", Valparaiso, Southern Illinois,24,28,55,52
0,"Wednesday, February 20, 2019", Ohio St., Northwestern,24,20,63,49
0,"Wednesday, February 20, 2019", North Carolina, Duke,32,42,88,72
0,"Wednesday, February 20, 2019", Marquette, Butler,29,30,79,69
0,"Wednesday, February 20, 2019", Washington St., Colorado,38,36,76,74
0,"Wednesday, February 20, 2019", Utah St., New Mexico,35,32,71,55
0,"Wednesday, February 20, 2019", McNeese St., Central Arkansas,36,45,83,75
0,"Thursday, February 21, 2019", Georgia St., Appalachian St.,36,40,80,75
0,"Thursday, February 21, 2019", Campbell, High Point,25,26,61,48
0,"Thursday, February 21, 2019", Mount St. Mary's, Central Connecticut,33,41,79,66
0,"Thursday, February 21, 2019", Elon, UNC Wilmington,45,40,84,77
0,"Thursday, February 21, 2019", Hampton, Longwood,44,42,86,66
0,"Thursday, February 21, 2019", Hofstra, Towson,39,37,91,82
0,"Thursday, February 21, 2019", Mercer, Samford,38,20,65,62
0,"Thursday, February 21, 2019", Michigan, Minnesota,18,28,69,60
0,"Thursday, February 21, 2019", Northeastern, James Madison,33,26,76,60
0,"Thursday, February 21, 2019", Northern Kentucky, Youngstown St.,38,32,76,69
0,"Thursday, February 21, 2019", Radford, Winthrop,37,39,87,81
0,"Thursday, February 21, 2019", Robert Morris, LIU Brooklyn,22,27,62,49
0,"Thursday, February 21, 2019", St. Francis PA, St. Francis NY,38,27,81,71
0,"Thursday, February 21, 2019", Chattanooga, The Citadel,27,37,68,65
0,"Thursday, February 21, 2019", Binghamton, UMass Lowell,29,41,81,66
0,"Thursday, February 21, 2019", UNC Greensboro, Western Carolina,30,22,79,76
0,"Thursday, February 21, 2019", East Tennessee St., VMI,39,39,94,70
0,"Thursday, February 21, 2019", William & Mary, Charleston,34,42,86,84
0,"Thursday, February 21, 2019", Wright St., Cleveland St.,43,38,87,61
0,"Thursday, February 21, 2019", Murray St., Tennessee Martin,36,32,85,75
0,"Thursday, February 21, 2019", South Dakota St., Purdue Fort Wayne,49,53,92,83
0,"Thursday, February 21, 2019", Louisiana, UT Arlington,21,46,76,64
0,"Thursday, February 21, 2019", Jacksonville St., Morehead St.,30,34,65,64
