,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Tuesday, November 7, 2023", Maryland, Mount St. Mary's,33,19,68,53
0,"Tuesday, November 7, 2023", St. John's, Stony Brook,41,30,90,74
0,"Tuesday, November 7, 2023", Iowa, North Dakota,56,32,110,68
0,"Tuesday, November 7, 2023", Michigan, UNC Asheville,48,32,99,74
0,"Tuesday, November 7, 2023", Creighton, Florida A&M,56,27,105,54
0,"Tuesday, November 7, 2023", Purdue Fort Wayne, DePaul,33,41,82,74
0,"Tuesday, November 7, 2023", La Salle, Drexel,32,32,67,61
0,"Tuesday, November 7, 2023", San Jose St., UC Irvine,24,24,72,64
0,"Tuesday, November 7, 2023", Presbyterian, Vanderbilt,28,24,68,62
0,"Saturday, November 18, 2023", Incarnate Word, Arkansas Pine Bluff,41,50,100,81
0,"Wednesday, November 8, 2023", Florida Atlantic, Loyola Chicago,30,43,75,62
0,"Wednesday, November 8, 2023", Ohio, Troy,43,28,88,70
0,"Wednesday, November 8, 2023", Syracuse, Canisius,41,32,89,77
0,"Wednesday, November 8, 2023", Texas Tech, Texas A&M Commerce,41,17,73,46
0,"Wednesday, November 8, 2023", Mississippi St., Arizona St.,39,18,71,56
0,"Wednesday, November 8, 2023", San Diego, Jackson St.,35,39,87,61
0,"Wednesday, November 8, 2023", Drake, Lipscomb,44,48,85,70
0,"Wednesday, November 8, 2023", Santa Clara, Utah Tech,41,29,77,69
0,"Wednesday, November 8, 2023", Seattle, Prairie View A&M,39,27,71,60
0,"Wednesday, November 8, 2023", Southern, UNLV,21,40,85,71
0,"Thursday, November 9, 2023", UC Davis, Pepperdine,31,48,79,78
0,"Thursday, November 9, 2023", North Florida, Charleston Southern,37,33,81,70
0,"Thursday, November 9, 2023", James Madison, Kent St.,38,43,113,108
0,"Thursday, November 9, 2023", Michigan St., Southern Indiana,37,14,74,51
0,"Thursday, November 9, 2023", Tulane, Northwestern St.,48,40,88,71
0,"Thursday, November 9, 2023", William & Mary, American,35,24,75,56
0,"Thursday, November 9, 2023", Georgia Tech, Howard,41,47,88,85
0,"Thursday, November 9, 2023", Utah Valley, Sam Houston St.,27,24,79,73
0,"Thursday, November 9, 2023", Towson, Coppin St.,24,35,70,49
0,"Thursday, November 9, 2023", North Alabama, Alabama A&M,40,30,83,67
0,"Thursday, November 9, 2023", TCU, Nebraska Omaha,43,33,82,60
0,"Thursday, November 9, 2023", Denver, Cal Poly,51,33,97,76
0,"Thursday, November 9, 2023", Cal St. Northridge, Idaho,36,38,76,73
0,"Thursday, November 9, 2023", USC, Cal St. Bakersfield,47,23,85,59
0,"Thursday, November 9, 2023", San Francisco, Saint Francis,41,27,84,52
0,"Thursday, November 9, 2023", Mercer, Chicago St.,30,33,66,61
0,"Thursday, November 9, 2023", Elon, East Tennessee St.,39,28,79,76
0,"Thursday, November 9, 2023", Nebraska, Florida A&M,41,25,81,54
0,"Thursday, November 9, 2023", Rhode Island, Fairfield,49,24,93,80
0,"Thursday, November 9, 2023", SMU, Lamar,31,19,78,67
0,"Thursday, November 9, 2023", South Florida, South Carolina St.,47,23,96,52
0,"Thursday, November 9, 2023", Stonehill, Army,28,25,57,44
0,"Thursday, November 9, 2023", Wichita St., Western Kentucky,27,29,71,61
0,"Friday, November 10, 2023", Air Force, LIU,27,43,82,67
0,"Friday, November 10, 2023", Quinnipiac, Central Connecticut,39,29,74,70
0,"Friday, November 10, 2023", Liberty, Charlotte,23,35,71,59
0,"Friday, November 10, 2023", Duquesne, Charleston,37,33,90,72
0,"Friday, November 10, 2023", UMass Lowell, Dartmouth,19,49,81,48
0,"Friday, November 10, 2023", Florida St., Kennesaw St.,49,34,94,67
0,"Friday, November 10, 2023", Villanova, Le Moyne,48,34,83,57
0,"Friday, November 10, 2023", Xavier, Jacksonville,37,26,79,56
0,"Friday, November 10, 2023", Arizona, Duke,33,41,78,73
0,"Friday, November 10, 2023", Virginia, Florida,35,39,73,70
0,"Friday, November 10, 2023", George Mason, Austin Peay,42,15,67,45
0,"Friday, November 10, 2023", Princeton, Hofstra,29,30,74,67
0,"Friday, November 10, 2023", Iona, Sacred Heart,39,40,88,81
0,"Friday, November 10, 2023", Chattanooga, Louisville,27,33,81,71
0,"Friday, November 10, 2023", Davidson, Maryland,32,33,64,61
0,"Friday, November 10, 2023", Miami FL, UCF,41,27,88,72
0,"Friday, November 10, 2023", N.C. State, Abilene Christian,47,29,84,64
0,"Friday, November 10, 2023", Oregon St., Troy,32,32,81,80
0,"Friday, November 10, 2023", Pittsburgh, Binghamton,40,32,89,60
0,"Friday, November 10, 2023", UNC Greensboro, North Carolina A&T,53,32,94,78
0,"Friday, November 10, 2023", VCU, Samford,31,34,75,65
0,"Friday, November 10, 2023", Monmouth, West Virginia,33,32,73,65
0,"Friday, November 10, 2023", Minnesota, UTSA,54,30,102,76
0,"Friday, November 10, 2023", Arkansas, Gardner Webb,48,36,86,68
0,"Friday, November 10, 2023", Auburn, Southeastern Louisiana,39,28,86,71
0,"Friday, November 10, 2023", Colorado, Grambling St.,50,20,95,63
0,"Friday, November 10, 2023", Illinois, Oakland,28,27,64,53
0,"Friday, November 10, 2023", Iowa, Alabama St.,49,37,98,67
0,"Friday, November 10, 2023", Kansas, Manhattan,44,19,99,61
0,"Friday, November 10, 2023", Kansas St., Bellarmine,46,31,83,75
0,"Friday, November 10, 2023", Nicholls St., LSU,25,44,68,66
0,"Friday, November 10, 2023", Murray St., Tennessee Tech,36,26,78,72
0,"Friday, November 10, 2023", Butler, Southeast Missouri St.,55,21,91,56
0,"Friday, November 10, 2023", Marquette, Rider,49,32,95,65
0,"Friday, November 10, 2023", Temple, Navy,26,41,75,68
0,"Friday, November 10, 2023", Northwestern, Dayton,35,25,71,66
0,"Friday, November 10, 2023", St. Thomas, Idaho St.,27,26,54,53
0,"Friday, November 10, 2023", Colorado St., Wright St.,45,42,105,77
0,"Friday, November 10, 2023", Oregon, Montana,37,37,75,61
