,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Saturday, December 2, 2023", Vanderbilt, Alabama A&M,36,29,78,59
0,"Saturday, December 2, 2023", Presbyterian, VMI,32,36,75,71
0,"Sunday, December 3, 2023", Maine, Brown,37,23,60,49
0,"Sunday, December 3, 2023", New Hampshire, Columbia,28,35,80,71
0,"Sunday, December 3, 2023", Saint Peter's, Canisius,25,18,54,52
0,"Sunday, December 3, 2023", Cincinnati, Florida Gulf Coast,49,26,99,62
0,"Sunday, December 3, 2023", Tulane, Fordham,41,43,89,81
0,"Sunday, December 3, 2023", Mount St. Mary's, Siena,30,14,80,48
0,"Sunday, December 3, 2023", Navy, Coppin St.,36,23,75,52
0,"Sunday, December 3, 2023", Marist, Manhattan,33,27,70,56
0,"Sunday, December 3, 2023", Longwood, Morgan St.,38,37,88,54
0,"Sunday, December 3, 2023", Clemson, Pittsburgh,26,37,79,70
0,"Sunday, December 3, 2023", Radford, Elon,39,39,82,72
0,"Sunday, December 3, 2023", Arizona St., San Francisco,36,28,72,61
0,"Sunday, December 3, 2023", Illinois St., Murray St.,35,33,76,72
0,"Sunday, December 3, 2023", East Tennessee St., Jacksonville St.,29,21,61,59
0,"Sunday, December 3, 2023", Missouri, Wichita St.,41,34,82,72
0,"Sunday, December 3, 2023", Southern, Mississippi St.,31,28,60,59
0,"Sunday, December 3, 2023", Morehead St., Chattanooga,40,36,87,80
0,"Sunday, December 3, 2023", Virginia Tech, Louisville,30,31,75,68
0,"Sunday, December 3, 2023", Colorado, Pepperdine,52,28,91,66
0,"Sunday, December 3, 2023", Air Force, Portland,33,37,80,58
0,"Sunday, December 3, 2023", Sam Houston St., Lamar,55,29,90,70
0,"Sunday, December 3, 2023", Stanford, San Diego,43,27,88,64
0,"Sunday, December 3, 2023", UC Riverside, North Dakota,31,26,68,62
0,"Sunday, December 3, 2023", Appalachian St., Auburn,33,31,69,64
0,"Sunday, December 3, 2023", Chicago St., Stetson,31,25,77,54
0,"Sunday, December 3, 2023", SMU, Texas A&M Commerce,46,16,90,47
0,"Monday, December 4, 2023", East Carolina, Maryland Eastern Shore,32,31,63,52
0,"Monday, December 4, 2023", North Dakota St., San Jose St.,36,28,83,78
0,"Monday, December 4, 2023", Oregon St., Cal Poly,25,28,70,63
0,"Monday, December 4, 2023", Purdue, Iowa,45,24,87,68
0,"Tuesday, December 5, 2023", Army, Le Moyne,27,19,68,51
0,"Tuesday, December 5, 2023", Tennessee, George Mason,39,26,87,66
0,"Tuesday, December 5, 2023", Delaware, Xavier,41,38,87,80
0,"Tuesday, December 5, 2023", Columbia, Lafayette,38,32,83,72
0,"Tuesday, December 5, 2023", Florida, Merrimack,30,31,77,57
0,"Tuesday, December 5, 2023", George Washington, Navy,33,28,79,77
0,"Tuesday, December 5, 2023", High Point, Western Carolina,47,25,97,71
0,"Tuesday, December 5, 2023", Kansas St., Villanova,33,25,72,71
0,"Tuesday, December 5, 2023", Liberty, Mississippi Valley St.,29,18,74,39
0,"Tuesday, December 5, 2023", Notre Dame, Western Michigan,40,34,86,65
0,"Tuesday, December 5, 2023", Princeton, Drexel,36,26,81,70
0,"Tuesday, December 5, 2023", Virginia, North Carolina Central,41,17,77,47
0,"Tuesday, December 5, 2023", Georgia, Georgia Tech,36,20,76,62
0,"Tuesday, December 5, 2023", Kansas, UMKC,44,30,88,69
0,"Tuesday, December 5, 2023", Syracuse, Cornell,34,31,81,70
0,"Tuesday, December 5, 2023", Utah Valley, Weber St.,38,32,70,54
0,"Tuesday, December 5, 2023", Butler, Buffalo,35,26,72,59
0,"Tuesday, December 5, 2023", Baylor, Seton Hall,42,32,78,60
0,"Tuesday, December 5, 2023", BYU, Evansville,47,25,96,55
0,"Tuesday, December 5, 2023", Grand Canyon, San Diego St.,35,28,79,73
0,"Tuesday, December 5, 2023", Idaho, Pacific,43,25,83,53
0,"Tuesday, December 5, 2023", Indiana, Michigan,39,37,78,75
0,"Tuesday, December 5, 2023", Connecticut, North Carolina,39,44,87,76
0,"Tuesday, December 5, 2023", Utah, Southern Utah,47,40,88,86
0,"Tuesday, December 5, 2023", Kent St., South Dakota St.,27,41,82,73
