,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Saturday, February 29, 2020", Mississippi, Vanderbilt,43,27,86,60
0,"Saturday, February 29, 2020", New Hampshire, Binghamton,40,22,89,70
0,"Saturday, February 29, 2020", Niagara, Iona,35,43,100,91
0,"Saturday, February 29, 2020", Saint Joseph's, Fordham,31,32,73,69
0,"Saturday, February 29, 2020", Kansas, Kansas St.,34,35,62,58
0,"Saturday, February 29, 2020", Akron, Buffalo,38,37,86,73
0,"Saturday, February 29, 2020", Saint Peter's, Canisius,34,31,69,68
0,"Saturday, February 29, 2020", Clemson, Florida St.,32,39,70,69
0,"Saturday, February 29, 2020", Illinois St., Evansville,27,34,71,60
0,"Friday, February 28, 2020", Georgia Southern, Georgia St.,31,39,79,70
0,"Saturday, February 29, 2020", Indiana St., Valparaiso,37,27,71,58
0,"Saturday, February 29, 2020", La Salle, St. Bonaventure,36,28,73,65
0,"Saturday, February 29, 2020", Lafayette, Navy,26,27,62,60
0,"Saturday, February 29, 2020", TCU, Baylor,21,28,75,72
0,"Saturday, February 29, 2020", Tennessee, Florida,32,17,63,58
0,"Saturday, February 29, 2020", American, Holy Cross,16,43,90,47
0,"Saturday, February 29, 2020", Seton Hall, Marquette,35,44,88,79
0,"Saturday, February 29, 2020", Denver, Western Illinois,36,25,69,63
0,"Saturday, February 29, 2020", Little Rock, Louisiana,40,37,91,69
0,"Saturday, February 29, 2020", Miami OH, Bowling Green,38,36,73,55
0,"Saturday, February 29, 2020", Mississippi St., Missouri,34,41,67,63
0,"Friday, February 28, 2020", Ohio, Kent St.,36,32,76,69
0,"Saturday, February 29, 2020", Kentucky, Auburn,40,37,73,66
0,"Saturday, February 29, 2020", Coastal Carolina, Appalachian St.,33,36,84,77
0,"Saturday, February 29, 2020", Charleston, Drexel,39,32,75,66
0,"Saturday, February 29, 2020", Furman, The Citadel,29,21,82,58
0,"Saturday, February 29, 2020", Delaware St., Maryland Eastern Shore,34,42,84,63
0,"Saturday, February 29, 2020", Mercer, Wofford,27,25,59,47
0,"Saturday, February 29, 2020", Nicholls St., New Orleans,52,31,92,68
0,"Saturday, February 29, 2020", Oklahoma St., Iowa St.,36,29,73,61
0,"Saturday, February 29, 2020", Presbyterian, Charleston Southern,33,32,76,65
0,"Saturday, February 29, 2020", Gardner Webb, Radford,26,33,70,62
0,"Saturday, February 29, 2020", North Carolina Central, South Carolina St.,25,33,83,82
0,"Saturday, February 29, 2020", Jacksonville, Stetson,26,29,53,52
0,"Saturday, February 29, 2020", VCU, George Washington,32,28,75,51
0,"Saturday, February 29, 2020", Wake Forest, Notre Dame,41,30,84,73
0,"Saturday, February 29, 2020", Oklahoma, West Virginia,21,25,73,62
0,"Saturday, February 29, 2020", Western Michigan, Northern Illinois,32,24,72,69
0,"Saturday, February 29, 2020", William & Mary, Elon,41,32,86,79
0,"Saturday, February 29, 2020", Abilene Christian, Central Arkansas,41,26,75,70
0,"Saturday, February 29, 2020", Campbell, UNC Asheville,38,29,78,69
0,"Saturday, February 29, 2020", Chattanooga, UNC Greensboro,40,37,74,72
0,"Saturday, February 29, 2020", USC Upstate, Hampton,49,34,90,79
0,"Saturday, February 29, 2020", South Dakota, North Dakota,39,39,77,67
0,"Saturday, February 29, 2020", Lipscomb, Liberty,47,35,77,71
0,"Saturday, February 29, 2020", North Dakota St., Nebraska Omaha,54,41,87,67
0,"Saturday, February 29, 2020", Samford, VMI,35,34,84,78
0,"Saturday, February 29, 2020", Tennessee Martin, Southeast Missouri St.,36,36,87,78
0,"Saturday, February 29, 2020", Stephen F. Austin, Lamar,42,38,95,76
0,"Saturday, February 29, 2020", California, Utah,24,28,86,79
0,"Saturday, February 29, 2020", Harvard, Cornell,24,32,67,58
0,"Saturday, February 29, 2020", Northern Iowa, Drake,18,30,70,43
0,"Saturday, February 29, 2020", Richmond, Massachusetts,49,26,95,71
0,"Saturday, February 29, 2020", Tulsa, UCF,27,21,65,54
0,"Friday, February 28, 2020", Texas St., UT Arlington,25,27,87,85
0,"Saturday, February 29, 2020", Butler, DePaul,29,22,60,42
0,"Saturday, February 29, 2020", Jackson St., Mississippi Valley St.,43,37,87,70
0,"Saturday, February 29, 2020", Norfolk St., Howard,51,28,89,59
0,"Saturday, February 29, 2020", Prairie View A&M, Alabama St.,38,35,65,58
0,"Saturday, February 29, 2020", Texas A&M Corpus Chris, Incarnate Word,32,31,78,70
0,"Saturday, February 29, 2020", Stony Brook, Albany,23,22,52,49
0,"Saturday, February 29, 2020", Dartmouth, Columbia,30,37,76,57
0,"Saturday, February 29, 2020", Fresno St., Wyoming,21,22,63,55
0,"Saturday, February 29, 2020", Yale, Princeton,27,26,66,63
0,"Saturday, February 29, 2020", UT Rio Grande Valley, Grand Canyon,40,47,88,80
0,"Saturday, February 29, 2020", Green Bay, Cleveland St.,40,23,74,67
0,"Saturday, February 29, 2020", Jacksonville St., Tennessee Tech,32,36,75,71
0,"Saturday, February 29, 2020", San Diego St., Nevada,45,36,83,76
0,"Saturday, February 29, 2020", Oral Roberts, Purdue Fort Wayne,35,31,72,66
0,"Saturday, February 29, 2020", Memphis, Tulane,27,30,74,67
0,"Saturday, February 29, 2020", UC Davis, Long Beach St.,36,29,77,76
0,"Saturday, February 29, 2020", USC, Arizona St.,41,36,71,61
0,"Saturday, February 29, 2020", Alabama, South Carolina,41,43,90,86
0,"Saturday, February 29, 2020", Belmont, Tennessee St.,30,40,72,65
0,"Saturday, February 29, 2020", Texas Southern, Alabama A&M,40,12,85,58
0,"Saturday, February 29, 2020", Eastern Washington, Northern Colorado,37,32,68,64
0,"Saturday, February 29, 2020", Cal Baptist, Seattle,34,32,88,87
0,"Saturday, February 29, 2020", Cal St. Northridge, Cal St. Fullerton,43,33,99,92
0,"Saturday, February 29, 2020", Gonzaga, Saint Mary's,34,34,86,76
0,"Saturday, February 29, 2020", New Mexico, Utah St.,33,32,66,64
0,"Saturday, February 29, 2020", UC Irvine, UC Santa Barbara,35,22,69,58
0,"Saturday, February 29, 2020", UCLA, Arizona,27,33,69,64
0,"Saturday, February 29, 2020", Montana, Sacramento St.,28,36,79,71
0,"Saturday, February 29, 2020", UC Riverside, Hawaii,24,24,49,43
0,"Saturday, February 29, 2020", Loyola Chicago, Bradley,27,38,67,66
0,"Saturday, February 29, 2020", Duquesne, George Mason,37,33,81,78
0,"Saturday, February 29, 2020", Georgia Tech, Miami FL,40,24,63,57
0,"Saturday, February 29, 2020", Grambling St., Arkansas Pine Bluff,25,21,60,46
0,"Saturday, February 29, 2020", Lehigh, Loyola MD,32,41,74,71
0,"Saturday, February 29, 2020", San Francisco, Loyola Marymount,30,31,69,67
0,"Saturday, February 29, 2020", Michigan St., Maryland,29,40,78,66
0,"Saturday, February 29, 2020", Missouri St., Southern Illinois,39,31,84,59
0,"Saturday, February 29, 2020", Fairleigh Dickinson, Mount St. Mary's,27,37,83,77
0,"Saturday, February 29, 2020", Pacific, San Diego,33,36,71,64
0,"Saturday, February 29, 2020", Santa Clara, Portland,37,38,73,68
0,"Saturday, February 29, 2020", North Carolina, Syracuse,35,40,92,79
0,"Saturday, February 29, 2020", Toledo, Ball St.,28,33,69,63
0,"Saturday, February 29, 2020", Virginia, Duke,25,25,52,50
0,"Saturday, February 29, 2020", Bryant, Wagner,24,38,80,59
