,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Wednesday, November 25, 2020", Abilene Christian, East Tennessee St.,34,24,70,47
0,"Wednesday, November 25, 2020", Mount St. Mary's, Morgan St.,22,28,62,55
0,"Wednesday, November 25, 2020", Navy, George Washington,41,30,78,71
0,"Wednesday, November 25, 2020", Nebraska, McNeese St.,50,28,102,55
0,"Wednesday, November 25, 2020", Virginia Tech, Radford,37,31,77,62
0,"Wednesday, November 25, 2020", Xavier, Oakland,53,12,101,49
0,"Thursday, November 26, 2020", Western Kentucky, Memphis,34,35,75,69
0,"Wednesday, November 25, 2020", Little Rock, Prairie View A&M,29,32,71,66
0,"Wednesday, November 25, 2020", Drake, Kansas St.,36,38,80,70
0,"Wednesday, November 25, 2020", Seattle, Portland,39,31,84,72
0,"Wednesday, November 25, 2020", Providence, Fairfield,41,29,97,56
0,"Wednesday, November 25, 2020", Nevada, North Dakota St.,20,29,62,48
0,"Wednesday, November 25, 2020", UAB, Alcorn St.,50,27,99,50
0,"Sunday, December 6, 2020", Western Carolina, Tennessee Tech,29,29,76,75
0,"Wednesday, November 25, 2020", Georgetown, UMBC,36,30,70,62
0,"Wednesday, November 25, 2020", Iowa, North Carolina Central,44,29,97,67
0,"Wednesday, November 25, 2020", Michigan, Bowling Green,43,36,96,82
0,"Wednesday, November 25, 2020", Quinnipiac, Fairleigh Dickinson,42,35,84,66
0,"Wednesday, November 25, 2020", UMass Lowell, San Francisco,30,24,76,68
0,"Wednesday, November 25, 2020", Oklahoma St., UT Arlington,27,32,75,68
0,"Wednesday, November 25, 2020", Wake Forest, Delaware St.,59,30,111,51
0,"Wednesday, November 25, 2020", Western Kentucky, Northern Iowa,31,39,93,87
0,"Wednesday, November 25, 2020", Ohio, Chicago St.,29,41,84,61
0,"Wednesday, November 25, 2020", Pacific, UC Riverside,38,27,66,60
0,"Wednesday, November 25, 2020", Eastern Kentucky, North Florida,34,50,80,67
0,"Wednesday, November 25, 2020", Purdue, Liberty,39,32,77,64
0,"Wednesday, November 25, 2020", Kentucky, Morehead St.,45,26,81,45
0,"Thursday, November 26, 2020", West Virginia, VCU,33,42,78,66
0,"Wednesday, November 25, 2020", North Carolina, Charleston,39,32,79,60
0,"Wednesday, November 25, 2020", Northern Kentucky, Ball St.,44,41,74,73
0,"Wednesday, November 25, 2020", Pepperdine, UC Irvine,41,36,86,72
0,"Wednesday, November 25, 2020", Arizona St., Rhode Island,48,41,94,88
0,"Wednesday, November 25, 2020", Minnesota, Green Bay,53,22,99,69
0,"Wednesday, November 25, 2020", Missouri, Oral Roberts,42,32,91,64
0,"Wednesday, November 25, 2020", Oregon St., California,36,31,71,63
0,"Wednesday, November 25, 2020", St. Francis PA, Pittsburgh,33,46,80,70
0,"Wednesday, November 25, 2020", Rutgers, Sacred Heart,40,25,86,63
0,"Wednesday, November 25, 2020", Saint Louis, SIU Edwardsville,48,18,89,52
0,"Wednesday, November 25, 2020", Santa Clara, Idaho St.,30,18,62,49
0,"Wednesday, November 25, 2020", South Alabama, Florida Atlantic,38,27,68,66
0,"Wednesday, November 25, 2020", Arkansas, Mississippi Valley St.,61,30,142,62
0,"Wednesday, November 25, 2020", Connecticut, Central Connecticut,48,41,102,75
0,"Wednesday, November 25, 2020", Indiana, Tennessee Tech,48,19,89,59
0,"Wednesday, November 25, 2020", Loyola Marymount, Southern Utah,41,42,85,83
0,"Wednesday, November 25, 2020", Clemson, Mississippi St.,19,26,53,42
0,"Wednesday, November 25, 2020", N.C. State, Charleston Southern,43,31,95,61
0,"Wednesday, November 25, 2020", SMU, Sam Houston St.,42,27,97,67
0,"Wednesday, November 25, 2020", Colorado, South Dakota,31,45,84,61
0,"Wednesday, November 25, 2020", Texas, UT Rio Grande Valley,45,29,91,55
0,"Wednesday, November 25, 2020", Georgia St., Georgia Tech,31,38,123,120
0,"Wednesday, November 25, 2020", Grand Canyon, Grambling St.,34,23,69,53
0,"Wednesday, November 25, 2020", USC, Cal Baptist,39,39,95,87
0,"Wednesday, November 25, 2020", Villanova, Boston College,34,34,76,67
0,"Wednesday, November 25, 2020", Montana St., UNLV,31,49,91,78
0,"Wednesday, November 25, 2020", Marquette, Arkansas Pine Bluff,50,18,99,57
