,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Wednesday, December 15, 2021", Fairfield, Fairleigh Dickinson,27,44,72,54
0,"Wednesday, December 15, 2021", Jacksonville St., FIU,30,29,66,59
0,"Wednesday, December 15, 2021", North Carolina Central, Gardner Webb,28,30,72,71
0,"Wednesday, December 15, 2021", UCF, Temple,19,18,65,48
0,"Wednesday, December 15, 2021", Akron, Wright St.,23,35,66,48
0,"Wednesday, December 15, 2021", Mississippi, Middle Tennessee,27,24,62,52
0,"Wednesday, December 15, 2021", South Dakota, Bellarmine,35,38,78,64
0,"Wednesday, December 15, 2021", Southern Illinois, Southeast Missouri St.,29,23,80,55
0,"Wednesday, December 15, 2021", Texas St., Lamar,31,18,67,47
0,"Wednesday, December 15, 2021", Arizona, Northern Colorado,52,42,101,76
0,"Wednesday, December 15, 2021", Denver, UC San Diego,24,20,64,56
0,"Wednesday, December 15, 2021", Oregon, Portland,46,32,96,71
0,"Wednesday, December 15, 2021", USC, UC Irvine,28,36,66,61
0,"Wednesday, December 15, 2021", Utah St., Weber St.,44,59,95,80
0,"Wednesday, December 15, 2021", New Mexico St., Washington St.,35,22,64,61
0,"Tuesday, December 21, 2021", Davidson, Alabama,35,41,79,78
0,"Wednesday, December 15, 2021", Florida St., Lipscomb,44,28,97,60
0,"Wednesday, December 15, 2021", Georgetown, Howard,46,39,85,73
0,"Wednesday, December 15, 2021", Ohio, Marshall,39,28,75,65
0,"Wednesday, December 15, 2021", UNLV, Nebraska Omaha,35,38,84,71
0,"Wednesday, December 15, 2021", Xavier, Morehead St.,47,19,86,63
0,"Thursday, December 16, 2021", Tennessee St., Charleston Southern,41,34,78,75
0,"Thursday, December 16, 2021", Duke, Appalachian St.,50,37,92,67
0,"Thursday, December 16, 2021", Oral Roberts, UT Arlington,34,23,71,62
0,"Thursday, December 16, 2021", Tulsa, Alcorn St.,37,28,83,62
0,"Thursday, December 16, 2021", Stanford, Dartmouth,33,44,89,78
0,"Thursday, December 16, 2021", Drake, Jackson St.,27,27,70,65
0,"Thursday, December 16, 2021", UNC Greensboro, UMBC,28,29,62,51
0,"Sunday, December 19, 2021", Drake, Tennessee Martin,43,25,80,54
