,Date,Home Team,Away Team,Home 1H Points,Away 1H Points,Home Full Points,Away Full Points
0,"Saturday, December 8, 2012", Kentucky, Portland,35,20,74,46
0,"Saturday, December 8, 2012", Michigan, Arkansas,42,32,80,67
0,"Saturday, December 8, 2012", Lipscomb, Tennessee Martin,46,27,86,62
0,"Saturday, December 8, 2012", Ball St., South Dakota,26,26,62,51
0,"Saturday, December 8, 2012", N.C. State, Cleveland St.,47,32,80,63
0,"Saturday, December 8, 2012", New Hampshire, Yale,28,21,64,56
0,"Saturday, December 8, 2012", Memphis, Austin Peay,43,30,83,65
0,"Saturday, December 8, 2012", Bryant, Binghamton,51,30,78,56
0,"Saturday, December 8, 2012", Kansas, Colorado,43,22,90,54
0,"Saturday, December 8, 2012", Tulsa, TCU,30,25,50,49
0,"Saturday, December 8, 2012", Arizona St., Cal St. Northridge,41,31,87,76
0,"Saturday, December 8, 2012", New Mexico, Valparaiso,29,25,65,52
0,"Saturday, December 8, 2012", Bowling Green, Samford,17,27,57,42
0,"Saturday, December 8, 2012", Louisville, UMKC,53,28,99,47
0,"Saturday, December 8, 2012", Morehead St., Indiana St.,32,26,71,63
0,"Saturday, December 8, 2012", Drexel, Princeton,32,25,64,57
0,"Saturday, December 8, 2012", Robert Morris, Hampton,21,29,66,54
0,"Saturday, December 8, 2012", USC Upstate, UTSA,43,22,88,77
0,"Saturday, December 8, 2012", Cincinnati, Maryland Eastern Shore,52,23,92,60
0,"Saturday, December 8, 2012", Lehigh, St. Francis PA,28,43,83,67
0,"Saturday, December 8, 2012", William & Mary, Radford,29,30,60,55
0,"Saturday, December 8, 2012", Albany, Colgate,23,33,67,61
0,"Saturday, December 8, 2012", Eastern Michigan, Purdue,19,20,47,44
0,"Saturday, December 8, 2012", Ohio, Oakland,39,29,78,61
0,"Saturday, December 8, 2012", Boston College, St. Francis NY,33,35,72,64
0,"Saturday, December 8, 2012", Maryland, South Carolina St.,31,18,61,46
0,"Saturday, December 8, 2012", Michigan St., Loyola Chicago,30,32,73,61
0,"Saturday, December 8, 2012", Delaware St., Delaware,29,31,73,67
0,"Saturday, December 8, 2012", Murray St., Evansville,39,36,82,70
0,"Saturday, December 8, 2012", Kansas St., George Washington,29,27,65,62
0,"Saturday, December 8, 2012", Illinois Chicago, Colorado St.,21,19,64,55
0,"Saturday, December 8, 2012", Vermont, Quinnipiac,16,19,53,46
0,"Saturday, December 8, 2012", Missouri, Tennessee St.,23,20,68,38
0,"Saturday, December 8, 2012", Chicago St., Alabama St.,34,35,67,54
